휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
국망봉자연휴양림,경기도,사유림,2554814,60,관람객 5000원+등산객2000원,Y,통나무 집+캠핑장 등,경기도 포천시 이동면 늠바위길 207-28,김봉일,031-532-0014,www.kookmang.co.kr,38.02891868,127.3962681,2022.10.31,5600000,경기도 포천시
백야자연휴양림,충청북도,공유림,370000,210,무료+숙박시설별도,Y,숙박시설+캠핑장+물놀이장+산책로+화장실 등,충청북도 음성군 금왕읍 백야로 461-97,충청북도 음성군,043-878-2556,www.eumseong.go.kr/forest,36.95683951,127.6096488,2022.11.7,4470000,충청북도 음성군
와룡자연휴양림,전라북도,공유림,576219,1200,무료,Y,삼림욕장+숙박시설+야영데크+야영장+산행코스+물썰매장+수영장+치유의숲,전라북도 장수군 천천면 비룡로 632,전라북도 장수군청 산림과,063-350-2477,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030084,35.67621885,127.4772179,2022.10.19,4750000,전라북도 장수군
방화동가족휴가촌,전라북도,공유림,250000,700,무료,Y,오토캠핑장+야영장+모험놀이장+가족놀이장+체육광장,전라북도 장수군 번암면 방화동로 778,전라북도 장수군청 산림과,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,35.59064044,127.5268764,2022.10.19,4750000,전라북도 장수군
방화동자연휴양림,전라북도,공유림,1016000,200,무료,Y,숲속의집+산림문화휴양관+수련관,전라북도 장수군 번암면 방화동로 778,전라북도 장수군청 산림과,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,35.59064044,127.5268764,2022.10.19,4750000,전라북도 장수군
박달재자연휴양림,충청북도,공유림,1700000,136,무료,Y,숲속의집+산책로등,충청북도 제천시 백운면 금봉로 223,충청북도 제천시청,043-641-6527,https://www.foresttrip.go.kr,37.14806356,128.045293,2022.7.1,6430000,충청북도
충북알프스자연휴양림,충청북도,공유림,902058,287,무료,Y,숲속의집+세미나실+목공예체험장 등,충청북도 보은군 산외면 속리산로 1880,충청북도 보은군청,043-543-1472,https://www.foresttrip.go.kr,36.57319259,127.7858718,2022.7.1,6430000,충청북도
속리산숲체험휴양마을,충청북도,공유림,1100000,268,무료,Y,숲속의집+방문자종합센터+수영장+찜질방+식당+산책로 등,충청북도 보은군 속리산면 속리산로 596,충청북도 보은군청,043-540-3220,https://www.foresttrip.go.kr,36.49245548,127.7924743,2022.7.1,6430000,충청북도
장령산자연휴양림,충청북도,공유림,2008003,437,주차료) 대형 10000원 + 소형 3000원 + 경차 1000원,Y,숲속의집+산림문화휴양관+야영장+야외물놀이장 등,충청북도 옥천군 군서면 장령산로 519,충청북도 옥천군청,043-730-3491,https://www.foresttrip.go.kr,36.24486737,127.5547497,2022.7.1,6430000,충청북도
민주지산자연휴양림,충청북도,공유림,1800000,352,어른 1000원 + 청소년 500원 + 어린이 300원,Y,숲속의집+식당+황토찜질방+학습관+산림문화휴양관+치유센터+야영장+족구장 등,충청북도 영동군 용화면 휴양림길 60,충청북도 영동군청(위탁운영),043-740-3437,https://www.foresttrip.go.kr,36.05313182,127.8243888,2022.7.1,6430000,충청북도
좌구산자연휴양림,충청북도,공유림,730000,251,무료,Y,숲속의집+황토방+별무리하우스+병영하우스+좌구산숲+명상의집+줄타기+썰매장+숲속모험시설+천문대 등,충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군청,043-835-4552,https://www.foresttrip.go.kr,36.70556821,127.6511216,2022.7.1,6430000,충청북도
생거진천자연휴양림,충청북도,공유림,2210181,170,무료,Y,산림문화휴양관+숲속의집+연립동+야영센터 관리사무소,충청북도 진천군 백곡면 명암길 435-135,충청북도 진천군청,043-539-3551,https://www.foresttrip.go.kr,36.92399609,127.3902346,2022.7.1,6430000,충청북도
절물자연휴양림,제주특별자치도,국유림,300,2000,일반1000원+청소년600원+어린이300원,Y,휴양림.수련장.숙박등,제주특별자치도 제주시 명림로 584,제주시청,064-728-1510,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030053,33.44004881,126.6252034,2021.7.28,6510000,제주특별자치도 제주시
교래자연휴양림,제주특별자치도,공유림,230,1500,어른1000원+청소년·군인600원,Y,휴양림.숙박.공연장등,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도청,064-783-7482,http://www.jeju.go.kr/jejustoneparkforest/index.htm,33.45136376,126.6567109,2021.7.28,6510000,제주특별자치도 제주시
순천자연휴양림,전라남도,사유림,90000,265,없음,Y,관리사무실(1동)+숙박시설(14동23실)+캐빈하우스(6동)+텐트(19면),전라남도 순천시 서면 청소년수련원길 170,전라남도 순천시청,061-749-8948,www.foresttrip.go.kr,35.04388083,127.4744949,2023.1.25,4820000,전라남도 순천시
생거진천자연휴양림,충청북도,공유림,520000,129,0원,Y,"산림문화휴양관, 숲속의집12동, 연립동, 야영센터, 관리사무소",충청북도 진천군 백곡면 명암길 435-135,충청북도 진천군청 산림축산과,043-539-3552,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030033,36.923988,127.3902017,2023.1.11,4450000,충청북도 진천군
한방자연휴양림,경상남도,공유림,1376062,114,무료,Y,숲속의집+숲속휴양관+세미나실,경상남도 산청군 금서면 동의보감로555번길 186,경상남도 산청군청,055-970-6951,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030037,35.43403493,127.8236813,2023.1.9,5450000,경상남도 산청군
삼척활기자연휴양림,강원도,사유림,75625,175,0,Y,휴양관(송폭헌)+ 한옥(방우재)+ 한옥(세우재)+숲속의집(구희당)+숲속의집(삼락당),강원도 삼척시 미로면 준경길 651-43(지번활기리 403-1),삼척동해태백산림조합,033-574-0032,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030104,37.38099374,129.0601226,2023.1.4,4240000,강원도 삼척시
용인자연휴양림,경기도,공유림,1801693,1800,개인성인2000원+개인청소년/군인/국가보훈대상자/다자녀가정1000원+개인어린이500원+단체성인1600원+단체청소년/군인/국가보훈대상자/다자녀가정800원+단체어린이400원,Y,숲속의집+숲속체험관+목조주택+생태습지+야영장+잔디광장+짚라인+목재문화체험관 등,경기도 용인시 처인구 모현면 초부로 220,용인시청,031-336-0040,https://yonginforest.foresttrip.go.kr/,37.314713,127.265315,2023.1.26,4050000,경기도 용인시
간월산자연휴양림,울산광역시,사유림,597890,200,주중10~20만원+주말15~30만원,Y,관리실+수영장+연수원,울산광역시 울주군 상북면 작괘로 607-15,천광디엔씨,052-263-6644,https://www.forest.go.kr/kfsweb/kfi/kfs/foreston/main/contents/CmpngInfo/selectCmpngInfoList.do?mn=NKFS_03_01_01_02_04&restTpcd=01&restMngmeMnbdCd=003,35.5670959,129.0560416,2022.12.30,3730000,울산광역시 울주군
고대산자연휴양림,경기도,국유림,314000,183,어른 : 개인1000원/단체 800원+청소년·군인 : 개인 800원/단체 600원+어린이 : 개인 500원/단체 300원,Y,숲속의집 14동14실+산림휴양관 1동2층6실+숲속수련원 1동1실+방문자센터 1동2층 야영장데크 20개소,경기도 연천군 신서면 고대산길 84-79,경기도 연천군청 산림녹지과,031-834-2200,https://godaesan.foresttrip.go.kr,38.21125391,127.1507058,2023.1.4,4140000,경기도 연천군
동두천자연휴양림,경기도,공유림,700000,1000,성인2000+청소년구인1500+아동1000,Y,숲속의집+야외데크+잔디광장+유아숲체험원,경기도 동두천시 탑동가산로 1,경기도 동두천시청 관광휴양과,031-860-3258,https://blog.naver.com/ddcforest,37.88988548,127.1371472,2022.12.29,3920000,경기도 동두천시
제암산자연휴양림,전라남도,공유림,1600000,3000,개인(일반1000원+단체800원+할인500원)+청소년·군인(일반600원+단체500원+할인300원)+어린이(일반400원+단체300원+할인200원),Y,숙박+야영장+물놀이터+더늠길+숲속교육관+몽골텐트+족구장데크+모험시설,전라남도 보성군 웅치면 대산길 330,전라남도 보성군청,061-850-8708,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030090,34.70050454,126.9855053,2022.12.28,4890000,전라남도 보성군
문수산 산림욕장,경기도,공유림,25000,250,주차료(1000~5000원),N,숲길+산림욕장,경기도 김포시 월곶면 문수산로 102-38,김포도시관리공사,031-988-2965,https://www.guc.or.kr/facility/park_moonsoosan.asp,37.737829,126.5308885,2022.12.27,4090000,경기도 김포시
송정자연휴양림,경상북도,공유림,636297,350,개인(성인 1000원+청소년·군인 700원+어린이 500원)+단체(성인 800원+청소년·군인 500원+어린이 300원),Y,숲속의집+휴양관+야영장+피크닉장 등,경상북도 칠곡군 석적읍 반계3길 88,경상북도 칠곡군청,054-979-6600,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030076,36.02333423,128.4416412,2022.12.5,5220000,경상북도 칠곡군
성주봉자연휴양림,경상북도,공유림,2000000,229,숲속의집80000원+휴양관70000원+수련관100000원,Y,숲속의집+산림휴양관+산림수련관+야영장,경상북도 상주시 은척면 성주봉로 3,경상북도 상주시청,054-541-6512,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030039,36.53359844,128.0407595,2022.12.5,5110000,경상북도 상주시
봉수산자연휴양림,충청남도,공유림,948780,171,무료,Y,숲속의집+산림문화휴양관,충청남도 예산군 대흥면 임존성길 153,충청남도 예산군청,041-339-8936,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030028,36.59844872,126.7808937,2022.12.18,4610000,충청남도 예산군
고산자연휴양림,전라북도,공유림,6920000,3000,일반2000+단체1500,Y,숲속의집+돔하우스+가족휴양관+웰빙휴양관+산림휴양관,전라북도 완주군 고산면 고산휴양림로 246,전라북도 완주군청 산림녹지과,063-263-8680,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030025,35.96224205,127.2328719,2022.11.25,4720000,전라북도 완주군
산수유자연휴양림,전라남도,공유림,340144,173,1000원,Y,세미나실+숙박시설,전라남도 구례군 산동면 정산길 251,구례군 지리산정원관리사업소,061-780-2897,https://www.foresttrip.go.kr/,35.30090353,127.4626987,2022.11.28,4870000,전라남도 구례군
세심자연휴양림,전라북도,공유림,101.45,100,0,Y,숲속의집,전라북도 임실군 삼계면 임삼로 485,전라북도 임실군청,063-644-4611,https://site.onda.me/69138,35.514241,127.240066,2022.12.15,4760000,전라북도 임실군
